edge_bucket,total_bets,win_rate,roi,avg_profit,avg_edge
10-12%,57.0,0.7192982456140351,-0.004035087719298238,-0.004035087719298238,0.10991811561683439
12-16%,104.0,0.7211538461538461,-0.016730769230769233,-0.016730769230769233,0.138943053435211
>20%,40.0,0.675,-0.02049999999999999,-0.02049999999999999,0.2332712493307639
8-10%,37.0,0.6756756756756757,-0.08081081081081076,-0.08081081081081076,0.09100470787695032
16-20%,70.0,0.6714285714285714,-0.0927142857142857,-0.0927142857142857,0.17417499529487637
5-8%,67.0,0.6119402985074627,-0.16805970149253732,-0.16805970149253732,0.06435298295699717
