probability_bucket,total_bets,win_rate,roi,avg_profit,avg_edge
35-40%,1.0,1.0,0.7,0.7,0.05172186424723069
<=10%,130.0,0.7307692307692307,-0.039923076923076915,-0.039923076923076915,0.17384120799118594
20-30%,79.0,0.6329113924050633,-0.05810126582278481,-0.05810126582278481,0.0889503445765968
10-20%,164.0,0.6707317073170732,-0.08201219512195121,-0.08201219512195121,0.12305793955918072
30-35%,1.0,0.0,-1.0,-1.0,0.057675628501187015
