intensity_bucket,total_bets,win_rate,roi,avg_profit,avg_edge
<=3.0,112.0,0.7678571428571429,0.02919642857142857,0.02919642857142857,0.1284067016051043
5.0-6.0,26.0,0.6538461538461539,-0.0396153846153846,-0.0396153846153846,0.12696697330380052
3.0-4.0,149.0,0.6845637583892618,-0.06704697986577181,-0.06704697986577181,0.12748510566426863
4.0-5.0,84.0,0.5952380952380952,-0.1576190476190476,-0.1576190476190476,0.14946316277559374
>6.0,4.0,0.25,-0.635,-0.635,0.17111388451574597
