method,status,mean_abs_calibration_error,worst_bucket,worst_bucket_error,roi,total_bets,win_rate,avg_edge
raw,available,0.1699363173876082,0.8-0.9,0.4766692031513561,-0.06274666666666666,375,0.6826666666666666,0.13311289024229164
logistic,available,0.35211011532833975,0.8-0.9,0.8555230696996053,0.009861111111111119,72,0.75,0.1136916105908415
isotonic,available,0.31004598100270025,0.8-0.9,0.8555230696996053,-0.06947916666666666,96,0.6875,0.10415339574437311
