predicted_cards_lte,total_cards_last5_lte,total_bets,win_rate,roi,avg_edge,avg_profit,sample_warning
2.7,3.0,42,0.8571428571428571,0.11476190476190481,0.14546700359850082,0.11476190476190481,
2.5,3.0,28,0.8571428571428571,0.10357142857142858,0.15086956010842917,0.10357142857142858,
2.5,4.0,49,0.8367346938775511,0.08551020408163267,0.1481182329051866,0.08551020408163267,
2.7,3.5,61,0.8360655737704918,0.08508196721311477,0.1450258545652942,0.08508196721311477,
2.6,3.0,36,0.8333333333333334,0.07583333333333336,0.1513377690892293,0.07583333333333336,
2.7,4.0,76,0.8157894736842105,0.06368421052631582,0.14400006629665607,0.06368421052631582,
2.5,3.5,40,0.825,0.06350000000000003,0.14761051946293033,0.06350000000000003,
2.6,4.0,63,0.8095238095238095,0.05190476190476192,0.14747487580763094,0.05190476190476192,
2.6,3.5,51,0.803921568627451,0.03705882352941177,0.14804282806653296,0.03705882352941177,
2.4,3.0,21,0.8095238095238095,0.034285714285714294,0.14543082617627456,0.034285714285714294,
2.4,4.0,40,0.8,0.03425000000000001,0.1443577164668159,0.03425000000000001,
2.4,3.5,31,0.7741935483870968,-0.009032258064516123,0.14261083951082923,-0.009032258064516123,
2.7,2.5,18,0.7222222222222222,-0.06555555555555555,0.1414469532644498,-0.06555555555555555,LOW SAMPLE
2.4,2.5,14,0.7142857142857143,-0.07928571428571428,0.1455597805353755,-0.07928571428571428,LOW SAMPLE
2.5,2.5,14,0.7142857142857143,-0.07928571428571428,0.1455597805353755,-0.07928571428571428,LOW SAMPLE
2.6,2.5,16,0.6875,-0.11499999999999999,0.1455876972050128,-0.11499999999999999,LOW SAMPLE
