Referee,matches,avg_yellows,avg_reds,avg_total_cards,over_3_5_rate,over_4_5_rate,over_5_5_rate,home_yellows_avg,away_yellows_avg
A J Hernandez Hernandez,10,4.8,0.2,5.0,0.80,0.60,0.40,2.4,2.6
J L Munuera Montero,10,4.5,0.2,4.7,0.70,0.50,0.30,2.2,2.3
A Quintero Gonzalez,10,4.9,0.2,5.1,0.80,0.60,0.35,2.4,2.5
I Diaz de Mera Escuderos,10,4.7,0.2,4.9,0.75,0.55,0.30,2.3,2.4
