Date,HomeTeam,AwayTeam,Pick,Line,Odds,Stake,Edge,Confidence,FinalCards,Result,Profit
02/05/2026,Brentford,West Ham,UNDER 4.5,4.5,1.34,1.0,0.068129572405744,HIGH CONFIDENCE,,PENDING,0.0
02/05/2026,Newcastle,Brighton,UNDER 4.5,4.5,1.64,1.0,0.193106546634581,HIGH CONFIDENCE,,PENDING,0.0
