predicted_cards_lte,total_cards_last5_lte,value_edge_gt,over_4_5_prob_lt,total_bets,minimum_40_bets,win_rate,roi,avg_edge,avg_profit,season_min_roi,referee_min_roi,league_min_roi,season_positive_roi_rate,referee_positive_roi_rate,league_positive_roi_rate,roi_stability_std,stability_score,roi_by_season,roi_by_referee,roi_by_league
2.5,3.0,0.05,0.35,28,NO,0.8571428571428571,0.10357142857142858,0.15086956010842917,0.10357142857142858,0.038888888888888945,-0.5766666666666667,0.10357142857142858,1.0,0.8461538461538461,1.0,0.09752063176866389,0.006050796802764685,2022:18 bets/11.9%; 2023:9 bets/3.9%; 2025:1 bets/41.0%,A Madley:3 bets/-57.7%; A Taylor:5 bets/1.0%; C Pawson:2 bets/34.5%; D England:1 bets/34.0%; G Scott:2 bets/-37.5%; J Brooks:1 bets/41.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:5 bets/29.0%; P Bankes:1 bets/35.0%; R Jones:2 bets/25.0%; S Hooper:1 bets/28.0%,E0:28 bets/10.4%
2.5,3.0,0.05,0.4,28,NO,0.8571428571428571,0.10357142857142858,0.15086956010842917,0.10357142857142858,0.038888888888888945,-0.5766666666666667,0.10357142857142858,1.0,0.8461538461538461,1.0,0.09752063176866389,0.006050796802764685,2022:18 bets/11.9%; 2023:9 bets/3.9%; 2025:1 bets/41.0%,A Madley:3 bets/-57.7%; A Taylor:5 bets/1.0%; C Pawson:2 bets/34.5%; D England:1 bets/34.0%; G Scott:2 bets/-37.5%; J Brooks:1 bets/41.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:5 bets/29.0%; P Bankes:1 bets/35.0%; R Jones:2 bets/25.0%; S Hooper:1 bets/28.0%,E0:28 bets/10.4%
2.7,3.0,0.12,0.3,34,NO,0.8529411764705882,0.10117647058823531,0.1590947517303734,0.10117647058823531,-0.023636363636363577,-0.37,0.10117647058823531,0.75,0.75,1.0,0.0690487852230224,0.03212768536521292,2022:21 bets/13.8%; 2023:11 bets/-2.4%; 2025:1 bets/41.0%; 2026:1 bets/40.0%,A Madley:4 bets/-36.5%; A Taylor:4 bets/-5.5%; C Kavanagh:1 bets/24.0%; C Pawson:2 bets/34.5%; D Coote:2 bets/-37.0%; D England:2 bets/37.0%; G Scott:1 bets/25.0%; J Brooks:2 bets/38.0%; J Gillett:1 bets/32.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:4 bets/-4.2%; P Bankes:1 bets/35.0%; R Jones:3 bets/25.7%; S Attwell:2 bets/30.0%,E0:34 bets/10.1%
2.7,3.0,0.12,0.35,34,NO,0.8529411764705882,0.10117647058823531,0.1590947517303734,0.10117647058823531,-0.023636363636363577,-0.37,0.10117647058823531,0.75,0.75,1.0,0.0690487852230224,0.03212768536521292,2022:21 bets/13.8%; 2023:11 bets/-2.4%; 2025:1 bets/41.0%; 2026:1 bets/40.0%,A Madley:4 bets/-36.5%; A Taylor:4 bets/-5.5%; C Kavanagh:1 bets/24.0%; C Pawson:2 bets/34.5%; D Coote:2 bets/-37.0%; D England:2 bets/37.0%; G Scott:1 bets/25.0%; J Brooks:2 bets/38.0%; J Gillett:1 bets/32.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:4 bets/-4.2%; P Bankes:1 bets/35.0%; R Jones:3 bets/25.7%; S Attwell:2 bets/30.0%,E0:34 bets/10.1%
2.7,3.0,0.12,0.4,34,NO,0.8529411764705882,0.10117647058823531,0.1590947517303734,0.10117647058823531,-0.023636363636363577,-0.37,0.10117647058823531,0.75,0.75,1.0,0.0690487852230224,0.03212768536521292,2022:21 bets/13.8%; 2023:11 bets/-2.4%; 2025:1 bets/41.0%; 2026:1 bets/40.0%,A Madley:4 bets/-36.5%; A Taylor:4 bets/-5.5%; C Kavanagh:1 bets/24.0%; C Pawson:2 bets/34.5%; D Coote:2 bets/-37.0%; D England:2 bets/37.0%; G Scott:1 bets/25.0%; J Brooks:2 bets/38.0%; J Gillett:1 bets/32.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:4 bets/-4.2%; P Bankes:1 bets/35.0%; R Jones:3 bets/25.7%; S Attwell:2 bets/30.0%,E0:34 bets/10.1%
2.7,3.0,0.08,0.3,39,NO,0.8461538461538461,0.10102564102564103,0.15177157002996197,0.10102564102564103,0.0016666666666667052,-0.375,0.10102564102564103,1.0,0.7777777777777778,1.0,0.0401522444708815,0.06087339655475953,2022:23 bets/9.4%; 2023:12 bets/0.2%; 2024:1 bets/54.0%; 2025:2 bets/40.5%; 2026:1 bets/40.0%,A Madley:4 bets/-36.5%; A Taylor:4 bets/-5.5%; C Kavanagh:1 bets/24.0%; C Pawson:2 bets/34.5%; D Coote:2 bets/-37.0%; D England:2 bets/37.0%; G Scott:2 bets/-37.5%; J Brooks:2 bets/38.0%; J Gillett:1 bets/32.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:6 bets/8.5%; P Bankes:1 bets/35.0%; P Tierney:1 bets/54.0%; R Jones:3 bets/25.7%; S Attwell:2 bets/30.0%; S Hooper:1 bets/28.0%,E0:39 bets/10.1%
2.7,3.0,0.08,0.35,39,NO,0.8461538461538461,0.10102564102564103,0.15177157002996197,0.10102564102564103,0.0016666666666667052,-0.375,0.10102564102564103,1.0,0.7777777777777778,1.0,0.0401522444708815,0.06087339655475953,2022:23 bets/9.4%; 2023:12 bets/0.2%; 2024:1 bets/54.0%; 2025:2 bets/40.5%; 2026:1 bets/40.0%,A Madley:4 bets/-36.5%; A Taylor:4 bets/-5.5%; C Kavanagh:1 bets/24.0%; C Pawson:2 bets/34.5%; D Coote:2 bets/-37.0%; D England:2 bets/37.0%; G Scott:2 bets/-37.5%; J Brooks:2 bets/38.0%; J Gillett:1 bets/32.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:6 bets/8.5%; P Bankes:1 bets/35.0%; P Tierney:1 bets/54.0%; R Jones:3 bets/25.7%; S Attwell:2 bets/30.0%; S Hooper:1 bets/28.0%,E0:39 bets/10.1%
2.7,3.0,0.08,0.4,39,NO,0.8461538461538461,0.10102564102564103,0.15177157002996197,0.10102564102564103,0.0016666666666667052,-0.375,0.10102564102564103,1.0,0.7777777777777778,1.0,0.0401522444708815,0.06087339655475953,2022:23 bets/9.4%; 2023:12 bets/0.2%; 2024:1 bets/54.0%; 2025:2 bets/40.5%; 2026:1 bets/40.0%,A Madley:4 bets/-36.5%; A Taylor:4 bets/-5.5%; C Kavanagh:1 bets/24.0%; C Pawson:2 bets/34.5%; D Coote:2 bets/-37.0%; D England:2 bets/37.0%; G Scott:2 bets/-37.5%; J Brooks:2 bets/38.0%; J Gillett:1 bets/32.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:6 bets/8.5%; P Bankes:1 bets/35.0%; P Tierney:1 bets/54.0%; R Jones:3 bets/25.7%; S Attwell:2 bets/30.0%; S Hooper:1 bets/28.0%,E0:39 bets/10.1%
2.5,3.0,0.08,0.3,26,NO,0.8461538461538461,0.08807692307692311,0.1577571558881618,0.08807692307692311,0.0012500000000000566,-0.5766666666666667,0.08807692307692311,1.0,0.7692307692307693,1.0,0.0469587269995697,0.04111819607735341,2022:17 bets/11.0%; 2023:8 bets/0.1%; 2025:1 bets/41.0%,A Madley:3 bets/-57.7%; A Taylor:4 bets/-5.5%; C Pawson:2 bets/34.5%; D England:1 bets/34.0%; G Scott:2 bets/-37.5%; J Brooks:1 bets/41.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:4 bets/27.8%; P Bankes:1 bets/35.0%; R Jones:2 bets/25.0%; S Hooper:1 bets/28.0%,E0:26 bets/8.8%
2.5,3.0,0.08,0.35,26,NO,0.8461538461538461,0.08807692307692311,0.1577571558881618,0.08807692307692311,0.0012500000000000566,-0.5766666666666667,0.08807692307692311,1.0,0.7692307692307693,1.0,0.0469587269995697,0.04111819607735341,2022:17 bets/11.0%; 2023:8 bets/0.1%; 2025:1 bets/41.0%,A Madley:3 bets/-57.7%; A Taylor:4 bets/-5.5%; C Pawson:2 bets/34.5%; D England:1 bets/34.0%; G Scott:2 bets/-37.5%; J Brooks:1 bets/41.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:4 bets/27.8%; P Bankes:1 bets/35.0%; R Jones:2 bets/25.0%; S Hooper:1 bets/28.0%,E0:26 bets/8.8%
